serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps
5f68af58-5ba9-11ed-8a60-005056b74c5e,001fcb55-3b08-468b-90ee-edd08055f918,,Microsoft Windows 7 Enterprise ,6.1.7601,,32 bits,,"Intel(R) Network Connections|Intel(R) Network Connections|Intel|StellarProtect|StellarProtect|TXOne|WIN32 CAL Client|WIN32 CAL Client|ORACLE | Micros|Elo Touchscreen Driver 5.8.2|Elo Touchscreen Driver 5.8.2|Elo Touch Solutions|TightVNC|TightVNC|GlavSoft LLC.|Star Micronics Printer Software for BSC10|Star Micronics Printer Software for BSC10|Star Micronics Co., Ltd.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba|Intel(R) Network Connections 25.0.0.1000|Intel(R) Network Connections 25.0.0.1000|Intel|Toshiba Monitor Upgrade Solutions|Toshiba Monitor Upgrade Solutions|Toshiba|Realtek Ethernet Controller All-In-One Windows Driver|Realtek Ethernet Controller All-In-One Windows Driver|Realtek",32343a57786b50765034337937333771474533474566417844765450445076723739376b576757543a572f33336871666466,333a6b4f596a794d314b36616c414d57416a543077616c774c3a576a31724d5763347a694c
5f68af58-5ba9-11ed-8a60-005056b74c5e,00515cda-ee79-4417-8116-75ec5b9ad829,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"Radiant Biometric Runtime -  v1.06.01.0|Radiant Biometric Runtime -  v1.06.01.0|Radiant Systems, Inc|Pulse Streaming Edge Agent|Pulse Streaming Edge Agent|NCR|Radiant Barcode Scanner Interface|Radiant Barcode Scanner Interface|NCR Corporation|UltraVNC v1.0.2|UltraVNC v1.0.2|UltraVNC|StellarProtect|StellarProtect|TXOne|EZConfig-Scanning|EZConfig-Scanning|Honeywell|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|NCR Software OSD|NCR Software OSD|NCR|Retail Platform Software for Windows|Retail Platform Software for Windows|NCR|Radiant Platform Drivers Gen3  -  v2.12.0.0|Radiant Platform Drivers Gen3  -  v2.12.0.0|Radiant Systems, Inc.|Aloha TakeOut|Aloha TakeOut|Radiant Systems|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation|Adobe Flash Player 9 ActiveX|Adobe Flash Player 9 ActiveX|Adobe Systems, Inc.|Star Micronics Printer Software for BSC10|Star Micronics Printer Software for BSC10|Star Micronics Co., Ltd.|Radiant ICD Drivers|Radiant ICD Drivers|Radiant Systems, Inc.|SupportReady - Radiant Auto Loader|SupportReady - Radiant Auto Loader|Radiant Systems",32343a5778415052567a52567a49696a484870576457336f6e37653753383948666654594e456f416b566b56415936784a574e70664e70667559635975763a57475a506e306457337157575961627a39,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
5f68af58-5ba9-11ed-8a60-005056b74c5e,009a43d1-c38f-41f2-874d-5f47dd629bf1,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba|Intel(R) Network Connections 17.4.95.0|Intel(R) Network Connections 17.4.95.0|Intel|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|WIN32 CAL Client|WIN32 CAL Client|MICROS Systems, Inc.|StellarProtect|StellarProtect|TXOne|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Star Micronics Printer Software for BSC10|Star Micronics Printer Software for BSC10|Star Micronics Co., Ltd.|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|DigitalPersona U.are.U RTE|DigitalPersona U.are.U RTE|DigitalPersona, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|UltraVnc|UltraVnc|uvnc bvba",32343a57784a4b4a7654504c503657503937725672503937725664583733372f3365507650575739426f5739426f3578633765376f37614c46614c46614c346e2b6e713a574c365268526e50336e4f426f4f426f443232342b71,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
5f68af58-5ba9-11ed-8a60-005056b74c5e,009ed92d-5fcb-4148-b314-37d562bba2c1,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"Intel(R) Network Connections|Intel(R) Network Connections|Intel|TightVNC|TightVNC|GlavSoft LLC.|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Aloha TakeOut|Aloha TakeOut|Radiant Systems|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Pulse Streaming Edge Agent|Pulse Streaming Edge Agent|NCR|StellarProtect|StellarProtect|TXOne|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba",32343a5778414350765052344a503937725672503937725659594e456f786e2b6e346b5046505752567052567049696a6e336539426f5739426f656d376537345276563a57474d4d526852372f2b34543152723347426f4f426f6532,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
5f68af58-5ba9-11ed-8a60-005056b74c5e,00aafbff-f62e-4df4-a274-f60cd0dd50c2,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba|UltraVNC 1.0.5.5|UltraVNC 1.0.5.5|1.0.5.5|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Aloha TakeOut|Aloha TakeOut|Radiant Systems|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|TightVNC|TightVNC|GlavSoft LLC.|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Pulse Streaming Edge Agent|Pulse Streaming Edge Agent|NCR|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|StellarProtect|StellarProtect|TXOne|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel",32343a577841624b4a767578424152567052567058594e456f416b39426f5739426f724a5076506544696a56376537526b50393772567250393772566633576e2b6e503a57473578426b314d5741426f4f426f4d4f57385268527433572b3465,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
5f68af58-5ba9-11ed-8a60-005056b74c5e,00b5e97e-163b-4847-9edd-36e3d78a5f12,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"SupportReady - Radiant Auto Loader|SupportReady - Radiant Auto Loader|Radiant Systems|Radiant Barcode Scanner Interface|Radiant Barcode Scanner Interface|NCR Corporation|EZConfig-Scanning|EZConfig-Scanning|Honeywell|Adobe Flash Player 9 ActiveX|Adobe Flash Player 9 ActiveX|Adobe Systems, Inc.|TightVNC|TightVNC|GlavSoft LLC.|Radiant ICD Drivers|Radiant ICD Drivers|Radiant Systems, Inc.|Retail Platform Software for Windows|Retail Platform Software for Windows|NCR|Radiant Platform Drivers Gen3  -  v2.12.0.0|Radiant Platform Drivers Gen3  -  v2.12.0.0|Radiant Systems, Inc.|Aloha TakeOut|Aloha TakeOut|Radiant Systems|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Radiant Biometric Runtime -  v1.06.01.0|Radiant Biometric Runtime -  v1.06.01.0|Radiant Systems, Inc|NCR Software OSD|NCR Software OSD|NCR|StellarProtect|StellarProtect|TXOne|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation",32343a57784139596359754d667034594255434e70664e706679383948666654594e456f71376537325752567a52567a6e3365566b56453a5747397a7259425931504a3373,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
5f68af58-5ba9-11ed-8a60-005056b74c5e,00f98e9c-caa2-477e-bfcb-0b9674352f25,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"Retail Platform Software for Windows|Retail Platform Software for Windows|NCR|UltraVNC 1.0.5.6|UltraVNC 1.0.5.6|1.0.5.6|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation|Radiant ICD Drivers|Radiant ICD Drivers|Radiant Systems, Inc.|Radiant Platform Drivers Gen3  -  v2.20.0.5|Radiant Platform Drivers Gen3  -  v2.20.0.5|Radiant Systems, Inc.|RadSprtA|RadSprtA|Radiant Systems, Inc.|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Adobe Flash Player 9 ActiveX|Adobe Flash Player 9 ActiveX|Adobe Systems, Inc.|Radiant Barcode Scanner Interface|Radiant Barcode Scanner Interface|NCR Corporation|Radiant Biometric Runtime -  v1.06.01.0|Radiant Biometric Runtime -  v1.06.01.0|Radiant Systems, Inc|NCR Software OSD|NCR Software OSD|NCR|EZConfig-Scanning|EZConfig-Scanning|Honeywell|SupportReady - Radiant Auto Loader|SupportReady - Radiant Auto Loader|Radiant Systems|StellarProtect|StellarProtect|TXOne|Aloha TakeOut|Aloha TakeOut|Radiant Systems",32343a5778414c384c55536b56566b566e4e70664e706659325532554b77376537385963707752567a52567a6c555963597536334d594e456f763a57472b506b67396959625076557a34333939,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
5f68af58-5ba9-11ed-8a60-005056b74c5e,01037cb3-7727-4adf-9c22-a029b1015b5d,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"Retail Platform Software for Windows|Retail Platform Software for Windows|NCR|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation|Radiant Biometric Runtime -  v1.06.01.0|Radiant Biometric Runtime -  v1.06.01.0|Radiant Systems, Inc|NCR Software OSD|NCR Software OSD|NCR|Adobe Flash Player 9 ActiveX|Adobe Flash Player 9 ActiveX|Adobe Systems, Inc.|Star Micronics Printer Software for BSC10|Star Micronics Printer Software for BSC10|Star Micronics Co., Ltd.|StellarProtect|StellarProtect|TXOne|Radiant Barcode Scanner Interface|Radiant Barcode Scanner Interface|NCR Corporation|Pulse Streaming Edge Agent|Pulse Streaming Edge Agent|NCR|EZConfig-Scanning|EZConfig-Scanning|Honeywell|UltraVnc|UltraVnc|uvnc bvba|Radiant Platform Drivers Gen3  -  v2.12.0.0|Radiant Platform Drivers Gen3  -  v2.12.0.0|Radiant Systems, Inc.|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Radiant ICD Drivers|Radiant ICD Drivers|Radiant Systems, Inc.|SupportReady - Radiant Auto Loader|SupportReady - Radiant Auto Loader|Radiant Systems|Aloha TakeOut|Aloha TakeOut|Radiant Systems",32343a5778414c3877566b566e52567a52567a415936786333627055696a6e66667737653732574e70664e7066755963597542594e456f763a57474b5043596e3362757a4539,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
5f68af58-5ba9-11ed-8a60-005056b74c5e,01ab91f9-454f-4437-9e65-9d98ee80edbf,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"DigitalPersona U.are.U RTE|DigitalPersona U.are.U RTE|DigitalPersona, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|WIN32 CAL Client|WIN32 CAL Client|MICROS Systems, Inc.|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Intel(R) Network Connections 17.4.95.0|Intel(R) Network Connections 17.4.95.0|Intel|UltraVNC 1.0.5.6|UltraVNC 1.0.5.6|1.0.5.6|Star Micronics Printer Software for BSC10|Star Micronics Printer Software for BSC10|Star Micronics Co., Ltd.|StellarProtect|StellarProtect|TXOne|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation",32343a577861614c46614c46614c346e2b6e353733375350765059376537526b504c50736c6b6b78633330765450393772567250393772567439426f5739426f473a57763232342b73316c6b70333652685264426f4f426f47,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
5f68af58-5ba9-11ed-8a60-005056b74c5e,01c87529-3c30-49f4-ac98-6a35df560cdc,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"Pulse Streaming Edge Agent|Pulse Streaming Edge Agent|NCR|Retail Platform Software for Windows|Retail Platform Software for Windows|NCR|EpsonNet Config V4|EpsonNet Config V4|Seiko Epson Corporation|Radiant Biometric Runtime -  v1.06.01.0|Radiant Biometric Runtime -  v1.06.01.0|Radiant Systems, Inc|EPSON APD4 Point and Print Support|EPSON APD4 Point and Print Support|SEIKO EPSON CORPORATION|UltraVnc|UltraVnc|uvnc bvba|Radiant ICD Drivers|Radiant ICD Drivers|Radiant Systems, Inc.|StellarProtect|StellarProtect|TXOne|NCR Aloha RAL|NCR Aloha RAL|NCR Corporation|EPSON Advanced Printer Driver 4|EPSON Advanced Printer Driver 4|SEIKO EPSON CORPORATION|NCR Software OSD|NCR Software OSD|NCR|NCR Aloha RAL Backup|NCR Aloha RAL Backup|NCR Corporation|Radiant Platform Drivers Gen3  -  v2.20.0.7|Radiant Platform Drivers Gen3  -  v2.20.0.7|Radiant Systems, Inc.|AlseaToggleBar Setup|AlseaToggleBar Setup|Default Company Name|Radiant Barcode Scanner Interface|Radiant Barcode Scanner Interface|NCR Corporation|EZConfig-Scanning|EZConfig-Scanning|Honeywell|Google Chrome|Google Chrome|Google LLC|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|InstPortMon|InstPortMon|InstPortMon|Adobe Flash Player 9 ActiveX|Adobe Flash Player 9 ActiveX|Adobe Systems, Inc.|NCR Aloha Terminal Monitor|NCR Aloha Terminal Monitor|NCR Corporation|EPSON Port Communication Service|EPSON Port Communication Service|SEIKO EPSON CORPORATION|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation",32343a57784148696a44384f2f447752567a52567a5642744e70664e7066773367326e42613366336654706a3765375250594f714d71634270566b56453a57474347503536337a305053505954566f76,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
5f68af58-5ba9-11ed-8a60-005056b74c5e,01cfa5ae-9b29-4db4-a64e-6acb98c1d67e,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"DigitalPersona U.are.U RTE|DigitalPersona U.are.U RTE|DigitalPersona, Inc.|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Star Micronics Printer Software for BSC10|Star Micronics Printer Software for BSC10|Star Micronics Co., Ltd.|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|TightVNC|TightVNC|GlavSoft LLC.|Intel(R) Network Connections|Intel(R) Network Connections|Intel|StellarProtect|StellarProtect|TXOne|Intel(R) Network Connections 17.4.95.0|Intel(R) Network Connections 17.4.95.0|Intel|WIN32 CAL Client|WIN32 CAL Client|MICROS Systems, Inc.",32343a577861614c46614c46614c6750393772567250393772564a6e2b6e6937653766784839426f5739426f724a507650343365504c502f373337633a5776323267526852542b68426f4f426f793366,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
5f68af58-5ba9-11ed-8a60-005056b74c5e,01e699e7-273e-49f9-ae29-1f0a04e7f674,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"Intel(R) Trusted Execution Engine Driver|Intel(R) Trusted Execution Engine Driver|Intel Corporation|Futaba OPOS Driver Ver1.00|Futaba OPOS Driver Ver1.00|Futaba Corporation|Star Micronics Printer Software for BSC10|Star Micronics Printer Software for BSC10|Star Micronics Co., Ltd.|Intel(R) USB 3.0 eXtensible Host Controller Driver|Intel(R) USB 3.0 eXtensible Host Controller Driver|Intel Corporation|StellarProtect|StellarProtect|TXOne|Intel(R) Trusted Execution Engine|Intel(R) Trusted Execution Engine|Intel Corporation|VerifoneUnifiedDriverInstaller Build 10|VerifoneUnifiedDriverInstaller Build 10|VeriFone|WIN32 CAL Client|WIN32 CAL Client|MICROS Systems, Inc.|Hisense OPOS 1.11|Hisense OPOS 1.11|Hisense|Realtek Ethernet Controller Driver|Realtek Ethernet Controller Driver|Realtek|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|SiW Touch Daemon V1.1.6.8|SiW Touch Daemon V1.1.6.8|SiliconWorks, Inc.|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|TightVNC|TightVNC|GlavSoft LLC.",32343a5778414338766e6b38766e6450507978482f626b2f626e3365386c6b386c65384c2b37333763656839426f5739426f306b6b6b6b516337653734494c3a5747585050452b7a33666c65384c6d426f4f426f5551,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
5f68af58-5ba9-11ed-8a60-005056b74c5e,022c5394-ae8a-4ceb-b78e-79adc1c4fb25,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"Adobe Flash Player 9 ActiveX|Adobe Flash Player 9 ActiveX|Adobe Systems, Inc.|Radiant ICD Drivers|Radiant ICD Drivers|Radiant Systems, Inc.|EZConfig-Scanning|EZConfig-Scanning|Honeywell|UltraVNC v1.0.2|UltraVNC v1.0.2|UltraVNC|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Pulse Streaming Edge Agent|Pulse Streaming Edge Agent|NCR|StellarProtect|StellarProtect|TXOne|Radiant Biometric Runtime -  v1.06.01.0|Radiant Biometric Runtime -  v1.06.01.0|Radiant Systems, Inc|VerifoneUnifiedDriverInstaller Build 10|VerifoneUnifiedDriverInstaller Build 10|VeriFone|SupportReady - Radiant Auto Loader|SupportReady - Radiant Auto Loader|Radiant Systems|Retail Platform Software for Windows|Retail Platform Software for Windows|NCR|Radiant Platform Drivers Gen3  -  v2.20.0.5|Radiant Platform Drivers Gen3  -  v2.20.0.5|Radiant Systems, Inc.|RadSprtA|RadSprtA|Radiant Systems, Inc.|NCR Software OSD|NCR Software OSD|NCR|Aloha TakeOut|Aloha TakeOut|Radiant Systems|Radiant Barcode Scanner Interface|Radiant Barcode Scanner Interface|NCR Corporation|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation",32343a5778416f59634e70664e70665464573765374c696a6e336252567a52567a4a384c56596359756f383948325532554b63594e456f4d667037566b56453a57476f59326473723346506e384c567a3039582b,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
5f68af58-5ba9-11ed-8a60-005056b74c5e,025363d4-2d1c-4c27-ba69-cafcadfd491f,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"Intel(R) Network Connections|Intel(R) Network Connections|Intel|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba|Intel(R) Network Connections 17.4.95.0|Intel(R) Network Connections 17.4.95.0|Intel|DigitalPersona U.are.U RTE|DigitalPersona U.are.U RTE|DigitalPersona, Inc.|WIN32 CAL Client|WIN32 CAL Client|MICROS Systems, Inc.|UltraVNC 1.0.5.5|UltraVNC 1.0.5.5|1.0.5.5|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Star Micronics Printer Software for BSC10|Star Micronics Printer Software for BSC10|Star Micronics Co., Ltd.|StellarProtect|StellarProtect|TXOne|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.",32343a5778675076507a727654504c504a614c46614c46614c773733375655537842495950393772567250393772564d786333576e2b6e346b39426f5739426f656d503a57692b32327355537842375268523333572b3441426f4f426f6553,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
5f68af58-5ba9-11ed-8a60-005056b74c5e,02c89459-c952-4ef2-a396-0ac67052a769,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|StellarProtect|StellarProtect|TXOne|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba|UltraVnc|UltraVnc|uvnc bvba|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|TightVNC|TightVNC|GlavSoft LLC.|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Pulse Streaming Edge Agent|Pulse Streaming Edge Agent|NCR|Aloha TakeOut|Aloha TakeOut|Radiant Systems|TeamViewer 13|TeamViewer 13|TeamViewer|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.",32343a5778416533576e2b6e346b5039377256725039377256745076507a72764739426f5739426f724a5046505752567052567049696a67594e456f656366376537493a57476533572b34385268523779426f4f426f57315246456348,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
5f68af58-5ba9-11ed-8a60-005056b74c5e,03715d58-f5e4-422a-9a01-80805c17c984,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"StellarProtect|StellarProtect|TXOne|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|VerifoneUnifiedDriverInstaller Build 10|VerifoneUnifiedDriverInstaller Build 10|VeriFone|DigitalPersona U.are.U RTE|DigitalPersona U.are.U RTE|DigitalPersona, Inc.|Star Micronics Printer Software for BSC10|Star Micronics Printer Software for BSC10|Star Micronics Co., Ltd.|Intel(R) Network Connections|Intel(R) Network Connections|Intel|WIN32 CAL Client|WIN32 CAL Client|MICROS Systems, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections 17.4.95.0|Intel(R) Network Connections 17.4.95.0|Intel|UltraVNC 1.0.5.6|UltraVNC 1.0.5.6|1.0.5.6|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation",32343a57783133307654503937725672503937725633384c4679614c46614c46614c6478485076504c373337796e2b6e346b504c50736c6b4b376537526b39426f57683a5766333652685252384c465a32322b2b34316c6b6641426f4f426f47,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
5f68af58-5ba9-11ed-8a60-005056b74c5e,03cd555e-ba74-4dac-afd4-011f26a85d8d,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections 17.4.95.0|Intel(R) Network Connections 17.4.95.0|Intel|WIN32 CAL Client|WIN32 CAL Client|MICROS Systems, Inc.|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Star Micronics Printer Software for BSC10|Star Micronics Printer Software for BSC10|Star Micronics Co., Ltd.|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|DigitalPersona U.are.U RTE|DigitalPersona U.are.U RTE|DigitalPersona, Inc.|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|UltraVnc|UltraVnc|uvnc bvba",32343a57784a4b4a76486e2b6e346b504c502f3733375350765047784839426f5739426f30503937725672503937725654614c46614c46614c443765374c336c3a57792b3479426f4f426f4d52685271323265336c,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
5f68af58-5ba9-11ed-8a60-005056b74c5e,03d08008-b221-483f-be20-7e37b4884422,,Microsoft Windows Embedded Standard ,6.1.7601,,32-bit,,"Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|SMSC LAN7500 Device Driver|SMSC LAN7500 Device Driver|SMSC|Aloha TakeOut|Aloha TakeOut|Radiant Systems|TP-LINK USB Ethernet Adapter Driver|TP-LINK USB Ethernet Adapter Driver|Realtek|UltraVNC 1.0.5.6|UltraVNC 1.0.5.6|1.0.5.6|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Intel(R) Network Connections|Intel(R) Network Connections|Intel|StellarProtect|StellarProtect|TXOne|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel",32343a577841696e2b6e346b39426f5739426f656d376537536349594e456f37676b56503937725672503937725641766748525670525670716d7250765034336550393a5747692b3441426f4f426f6558656b705268524c3166553363,333a6b4f596a794d314b497242327a6a345a674c767758486a3a576a3152777a555a674c766b
